sqft,bedrooms,city,condition,built_year,last_sold,price
868.0,3,nyc,excellent,1989,2020-11-01,329809
2993.0,6,seattle,poor,1913,2016-02-27,532755
960.0,2,seattle,fair,1990,2022-01-08,236546
1038.0,2,dallas,excellent,2025,2012-01-09,352223
2298.0,4,austin,fair,1996,2017-03-20,509425
3124.0,4,seattle,good,1957,2010-11-08,585771
1089.0,2,seattle,fair,1939,2022-03-11,218683
1431.0,1,miami,excellent,2009,2003-09-20,547560
2832.0,4,seattle,excellent,1932,2006-06-17,519362
3415.0,5,austin,fair,1960,2002-01-19,637439
2002.0,2,nyc,good,1997,2018-06-01,414027
932.0,1,austin,fair,2016,2006-01-13,403744
542.0,1,seattle,good,2016,2008-06-14,343763
1189.0,3,nyc,good,1911,2021-07-18,245481
895.0,2,seattle,good,2013,2009-07-05,343202
2533.0,4,miami,poor,1914,2003-04-05,510799
865.0,1,austin,fair,1973,,284822
2019.0,3,austin,good,2017,2005-08-19,526723
,4,dallas,good,1982,2023-04-23,441621
2243.0,2,nyc,good,2019,2014-06-08,540671
1099.0,1,austin,poor,1943,2025-02-28,250477
2912.0,4,seattle,fair,1939,2005-12-08,509643
2646.0,3,dallas,excellent,1941,2009-10-19,378532
2717.0,4,miami,poor,1944,,597091
893.0,2,dallas,fair,1986,2010-09-26,226401
871.0,1,miami,excellent,1957,2014-09-10,401379
,5,miami,poor,1992,2021-08-23,772118
1693.0,3,austin,good,1952,,371142
1403.0,3,miami,fair,1938,2020-11-23,424657
1966.0,4,nyc,excellent,1923,2016-12-13,363858
2489.0,4,seattle,good,1969,2007-12-02,494101
3367.0,4,dallas,excellent,2013,2023-12-06,680834
1359.0,1,seattle,fair,2008,2011-12-20,378748
3274.0,5,seattle,good,1931,2003-09-06,538169
575.0,1,seattle,good,1960,2025-01-08,178947
2166.0,4,dallas,fair,1988,2023-06-16,340024
2402.0,4,seattle,fair,1977,,482616
818.0,1,miami,poor,1908,2023-03-04,335314
921.0,1,austin,excellent,1974,,375042
1757.0,2,dallas,good,1904,2021-10-20,191735
3399.0,5,nyc,good,1914,2006-07-21,598827
2288.0,3,austin,good,1982,2016-09-27,544172
3299.0,4,miami,good,1912,2013-02-04,632888
2913.0,4,nyc,good,1942,2016-03-12,506830
1902.0,2,austin,fair,1974,2016-11-07,458840
2854.0,4,miami,good,1982,2016-06-26,700527
554.0,1,dallas,fair,1956,2013-07-16,48806
827.0,1,miami,excellent,1911,,353780
2988.0,4,dallas,good,2000,2013-03-20,490926
2890.0,4,seattle,fair,2019,2000-10-02,606792
1198.0,1,austin,good,2011,2000-10-08,426555
2092.0,3,seattle,poor,1994,2024-09-21,439572
2318.0,4,nyc,excellent,1950,2023-05-15,458466
,4,seattle,excellent,2010,2015-08-22,724739
2309.0,2,seattle,excellent,1961,2004-12-16,501225
,1,austin,fair,1917,2020-08-24,386569
1623.0,2,seattle,fair,2007,2003-06-16,436769
1778.0,3,miami,fair,1940,2009-04-02,490335
2456.0,3,seattle,poor,2018,2008-07-02,554101
3102.0,5,seattle,poor,1946,2000-05-22,533985
1862.0,1,miami,poor,2009,2020-08-02,550041
1244.0,2,dallas,excellent,1967,2013-01-11,240850
1210.0,3,austin,poor,1958,2008-03-01,256899
2738.0,3,austin,poor,1937,2013-10-09,466359
2950.0,4,dallas,good,2005,2000-05-17,530362
816.0,1,seattle,good,1907,2011-06-05,195366
700.0,1,miami,good,1959,2013-07-14,374437
2283.0,3,miami,good,1946,,551827
939.0,2,dallas,excellent,1968,2021-10-02,246740
2974.0,6,miami,good,1932,,693811
1431.0,2,nyc,good,1983,2003-10-08,305490
932.0,3,seattle,good,1948,,259265
,5,nyc,fair,1923,2023-05-12,538118
997.0,3,nyc,fair,1924,2009-08-18,214272
1354.0,2,seattle,good,1987,2001-11-01,352009
961.0,1,miami,fair,1932,2025-03-21,301760
846.0,2,seattle,good,1938,2011-08-02,234259
563.0,3,dallas,fair,1978,,145198
666.0,2,austin,fair,1941,2016-01-05,196789
1024.0,1,miami,fair,1948,2008-10-25,354443
660.0,2,austin,good,1930,,238277
2273.0,3,austin,fair,1943,2007-05-06,416506
2542.0,3,seattle,good,1987,2014-08-10,538902
,3,nyc,excellent,1967,,337894
1454.0,2,dallas,poor,2025,2006-04-05,277674
2014.0,3,seattle,good,1997,2012-06-17,488356
3125.0,4,austin,fair,1902,2002-04-09,543599
3053.0,5,dallas,fair,1947,2016-10-10,460588
630.0,1,nyc,good,1936,,181134
1044.0,1,dallas,excellent,1974,2024-04-04,228939
1210.0,2,nyc,fair,1933,2008-07-12,222584
1248.0,1,seattle,good,2021,2007-10-06,406511
2214.0,2,austin,fair,1937,2014-04-14,411452
1749.0,2,austin,good,1965,2018-12-10,420171
648.0,1,seattle,good,1915,,179226
1621.0,2,miami,good,2014,2000-08-02,495548
,4,miami,good,2014,2006-12-24,604174
805.0,1,miami,poor,2000,2006-06-02,421320
3000.0,4,miami,good,1944,,669479
656.0,1,nyc,good,1907,2012-09-26,97589
3275.0,5,miami,good,1989,2022-01-14,718706
797.0,1,austin,poor,1954,2000-06-09,201213
3031.0,4,nyc,fair,2024,,680017
3208.0,5,nyc,fair,1987,2016-05-28,581376
3439.0,5,austin,poor,1967,2015-09-04,679652
2906.0,3,dallas,fair,2024,2017-07-28,551956
2838.0,2,nyc,fair,2000,2003-03-27,558210
2427.0,3,nyc,good,1957,2019-04-04,415987
2837.0,4,austin,fair,1902,2006-07-02,525778
904.0,1,austin,good,1911,2013-02-21,226055
2108.0,3,miami,good,1955,2017-05-03,573189
2043.0,3,miami,good,1970,2015-05-17,524915
3073.0,5,seattle,good,1903,,538710
1888.0,2,miami,good,1915,2010-02-20,473419
1655.0,1,seattle,good,1988,2012-11-07,375573
2419.0,3,dallas,excellent,1994,,443872
1299.0,2,miami,good,1903,2018-08-02,371742
919.0,2,austin,good,1963,2002-07-06,261774
,2,miami,good,1910,2011-04-16,514343
1751.0,1,austin,good,1991,2017-12-03,463888
1198.0,1,miami,poor,2005,2002-03-23,405935
1603.0,2,dallas,good,2009,2025-01-17,382501
1599.0,2,austin,good,1975,2009-10-09,373678
1482.0,2,austin,excellent,1979,2000-08-28,361701
1638.0,2,miami,good,2016,2017-11-19,599067
2557.0,3,seattle,good,1977,2014-06-19,465387
1391.0,3,austin,excellent,1956,2016-01-05,419032
3347.0,4,miami,good,1995,2019-01-20,760234
3249.0,4,dallas,fair,1974,,500935
1943.0,3,seattle,fair,2006,2021-03-28,497070
1485.0,1,miami,poor,1966,2009-12-14,420551
2106.0,3,seattle,poor,2009,2014-02-19,456985
3046.0,4,dallas,fair,1905,2004-11-10,429176
2458.0,3,austin,good,1904,2016-03-02,472394
2913.0,5,miami,good,1912,2006-02-04,588124
2098.0,2,nyc,poor,1970,2018-04-25,366473
2399.0,5,seattle,good,1989,,571439
1364.0,2,seattle,fair,1927,,335259
2705.0,3,seattle,excellent,1919,2024-04-20,543355
,2,nyc,fair,2008,2003-07-01,273538
2584.0,3,dallas,good,1994,2003-07-02,447150
3082.0,4,miami,fair,1981,2024-01-15,729625
896.0,2,austin,good,1961,2009-02-18,305944
2343.0,4,miami,fair,1952,2000-02-27,569429
785.0,1,dallas,good,1902,2007-03-22,95134
2677.0,5,austin,fair,1923,2021-02-08,518508
753.0,2,dallas,excellent,2013,2009-04-23,237912
3308.0,6,miami,good,1942,2001-07-14,654694
912.0,2,dallas,good,1988,2018-04-24,211915
3377.0,6,seattle,good,1988,2005-04-05,662746
2903.0,3,miami,excellent,1938,2009-06-01,675519
2281.0,3,seattle,fair,1925,2000-07-02,354188
2848.0,3,nyc,fair,1987,2015-04-28,536628
2885.0,4,austin,fair,1911,2011-03-03,579710
3338.0,4,dallas,fair,1962,2022-05-27,523228
1260.0,2,nyc,good,2011,2008-01-21,356988
2270.0,5,miami,excellent,1989,,638554
785.0,1,dallas,excellent,1996,2004-12-25,252122
2348.0,4,miami,good,1910,2005-05-05,504293
1014.0,1,seattle,good,1925,2011-02-05,237745
2195.0,3,dallas,excellent,1934,2002-09-17,324036
2217.0,3,austin,excellent,1936,,465372
1898.0,3,dallas,fair,1924,2022-03-09,274327
2068.0,4,seattle,good,2022,2019-02-06,583531
2792.0,5,nyc,good,1920,2016-11-18,543040
2898.0,4,seattle,fair,1989,2023-12-01,588835
1976.0,3,seattle,fair,1973,2020-07-07,407533
2299.0,2,austin,excellent,1976,2016-08-16,602864
3294.0,5,dallas,excellent,1927,2022-08-14,524647
859.0,2,austin,excellent,1938,2003-08-20,259558
851.0,2,austin,good,1976,2021-07-07,252981
763.0,1,seattle,fair,1937,,225433
2474.0,4,seattle,fair,1987,,538248
1756.0,3,austin,good,1904,,451582
2823.0,5,nyc,good,1909,2012-05-08,436328
2514.0,4,miami,good,1991,2002-12-16,672026
1501.0,2,austin,good,1977,2009-05-17,385666
3195.0,5,seattle,fair,1905,2010-03-03,558058
2788.0,2,seattle,good,2013,2024-11-16,575311
1312.0,2,miami,fair,1900,2024-08-05,410108
1593.0,1,nyc,fair,2020,2014-07-16,415934
1443.0,1,dallas,poor,1991,2024-06-27,236010
973.0,2,nyc,fair,2024,2011-02-16,333398
943.0,2,miami,excellent,2019,2010-05-22,466493
3308.0,4,seattle,fair,1939,2021-06-09,567434
1814.0,2,austin,fair,1995,,420011
1650.0,3,austin,good,1926,2013-04-23,316661
2689.0,3,seattle,good,1959,2011-02-26,540670
2159.0,5,dallas,poor,1930,2018-06-21,347044
3308.0,5,dallas,fair,1961,2019-12-19,500810
2841.0,4,nyc,fair,2009,2012-06-15,592104
1938.0,4,austin,good,1954,2000-05-26,423306
1629.0,2,miami,fair,1911,2002-09-24,403956
3460.0,4,dallas,poor,1940,2003-08-12,456779
2653.0,4,austin,poor,1999,2012-04-03,519595
3354.0,5,seattle,good,1965,,668593
855.0,1,austin,poor,1970,2020-08-07,249376
3052.0,4,austin,good,1954,2006-01-02,654621
2411.0,3,nyc,fair,1936,2020-05-06,417616
866.0,2,seattle,good,1975,2017-12-04,245340
2265.0,3,austin,fair,1979,2001-05-28,508566
2558.0,3,nyc,fair,2013,2009-07-03,552020
537.0,1,miami,poor,1977,2007-08-18,299312
1863.0,3,seattle,good,2025,2023-09-10,549339
2976.0,5,austin,excellent,2004,,704142
1386.0,1,seattle,poor,1909,2021-02-20,237562
1876.0,2,nyc,fair,1949,2013-07-28,330755
1827.0,3,seattle,excellent,1948,,372201
1406.0,2,dallas,good,1900,2008-02-28,171596
3255.0,4,seattle,fair,1922,2020-09-17,601318
2844.0,4,nyc,fair,1996,2002-02-19,525115
832.0,2,austin,good,1944,,217481
3491.0,4,seattle,good,1918,2003-04-24,543110
3138.0,5,nyc,good,1936,,596104
1352.0,3,dallas,excellent,1934,2007-10-08,233364
3011.0,5,miami,good,1921,2005-03-10,627116
819.0,2,dallas,fair,1912,,81267
3497.0,4,miami,good,1996,,749934
2497.0,4,seattle,fair,2003,,603718
2450.0,3,seattle,fair,1962,2021-01-08,464107
771.0,1,dallas,poor,1977,2023-04-03,170038
3191.0,5,seattle,fair,2015,2023-09-10,690091
587.0,2,miami,good,2006,2009-10-24,425114
1222.0,3,nyc,poor,1904,2022-12-08,211775
929.0,2,nyc,fair,2020,2023-07-16,344774
2830.0,4,miami,good,1908,2024-01-23,644718
1095.0,2,miami,good,1903,2009-11-01,359373
3232.0,5,miami,good,1950,2005-02-22,713964
2469.0,4,seattle,good,1993,2015-02-09,521376
608.0,1,dallas,good,1910,2024-09-20,145120
516.0,1,dallas,poor,1936,2023-08-06,29618
655.0,1,dallas,good,1933,2014-01-04,102213
2318.0,3,austin,good,1950,,475706
2904.0,4,dallas,fair,2024,2010-08-23,553876
1216.0,2,austin,poor,1941,,269115
3048.0,4,austin,fair,1926,2014-09-19,568094
672.0,1,nyc,good,1915,2008-05-14,136428
2903.0,5,austin,fair,1924,2008-08-06,490750
3283.0,4,miami,fair,1916,2001-06-09,646904
2816.0,5,nyc,good,1972,2007-05-19,494750
2594.0,4,nyc,excellent,1952,2017-05-10,454627
3014.0,3,miami,fair,1962,2006-09-14,651782
620.0,2,austin,excellent,2004,2025-07-05,363519
1105.0,1,seattle,poor,1973,2002-08-13,253211
875.0,1,seattle,excellent,1919,2015-07-07,254103
2014.0,2,nyc,excellent,1947,2012-03-04,338762
,3,austin,poor,1939,,465393
2390.0,3,austin,good,2004,2023-07-15,657520
3053.0,4,dallas,excellent,1938,2014-09-11,463709
,1,austin,excellent,1917,2016-11-03,297947
2704.0,4,seattle,excellent,1992,2018-12-15,569370
1079.0,2,dallas,good,1953,2013-09-05,190437
1312.0,2,dallas,poor,1912,,114055
2630.0,4,seattle,good,1986,2011-06-04,557026
3441.0,5,seattle,good,1926,2006-09-13,607155
2335.0,2,dallas,good,2009,2012-04-27,439208
664.0,1,dallas,fair,2004,2015-09-07,157746
2349.0,2,miami,good,1946,2005-02-08,557293
627.0,1,nyc,fair,1970,2006-11-07,126491
3152.0,4,seattle,good,1971,2021-03-10,624303
2629.0,5,seattle,poor,1982,,582092
1019.0,2,seattle,good,1908,2005-01-10,259270
775.0,1,austin,good,1940,2018-02-19,271686
1051.0,1,dallas,good,1921,2018-12-26,150126
3440.0,5,miami,good,1987,2021-11-27,727897
1876.0,2,austin,fair,1908,2019-03-16,326088
2852.0,4,dallas,excellent,1965,2025-02-20,542303
2409.0,4,austin,good,1991,2014-10-26,524121
2217.0,3,seattle,fair,2019,2007-12-23,497946
935.0,2,austin,fair,1936,2022-03-09,257825
3338.0,5,austin,fair,1901,2006-08-04,544139
,1,austin,good,1991,2007-04-04,334236
2234.0,4,austin,excellent,1900,2021-09-25,473198
2599.0,4,miami,good,1908,2022-06-16,562134
2448.0,4,dallas,fair,2024,2008-02-09,452690
3322.0,4,seattle,excellent,2008,2018-04-10,706644
945.0,1,dallas,fair,1989,2023-07-08,200162
2025.0,2,miami,excellent,2005,2020-10-23,633881
1712.0,3,nyc,fair,1909,2000-01-18,264351
1923.0,2,nyc,good,1911,2017-12-25,351480
858.0,2,nyc,excellent,1937,2004-08-09,212558
902.0,1,dallas,fair,1902,2022-11-14,91048
1334.0,2,miami,good,2011,2001-12-04,515956
1414.0,2,seattle,excellent,1907,,342372
1784.0,5,seattle,fair,1968,2004-02-15,381368
,2,nyc,poor,2007,2010-10-16,471159
2404.0,5,nyc,good,1992,2006-03-12,463211
1735.0,3,seattle,fair,1929,2021-02-08,320380
1726.0,3,nyc,poor,1959,2010-06-27,332270
1153.0,2,seattle,good,1969,2019-11-14,323583
2265.0,4,austin,good,1996,2001-10-19,530190
1451.0,2,dallas,fair,1953,2011-07-02,225937
608.0,2,austin,fair,1935,,198696
1755.0,2,austin,good,2000,2024-05-23,518735
1922.0,4,miami,good,2011,2005-09-03,634713
1177.0,1,dallas,good,1961,2010-02-03,223000
2217.0,3,miami,fair,1903,2010-07-23,484598
2197.0,2,miami,excellent,1963,2014-01-09,620590
2606.0,4,nyc,good,2012,,579288
2444.0,5,seattle,poor,2024,,565249
2457.0,3,seattle,excellent,1950,2019-09-06,517931
1449.0,2,dallas,good,1918,2005-11-02,206347
2862.0,3,dallas,poor,1972,2008-02-01,394982
2147.0,3,nyc,fair,2004,2021-10-03,503199
1794.0,1,austin,good,2019,2017-08-05,588604
2378.0,3,miami,poor,1906,2010-12-20,482110
1582.0,2,miami,fair,1936,2023-11-09,437508
2038.0,4,austin,poor,1960,2010-02-03,408917
2710.0,6,nyc,fair,1912,2014-09-01,442032
3159.0,4,dallas,fair,2011,2006-08-14,607307
,6,austin,good,1914,,583081
,3,nyc,fair,1983,2012-04-10,378619
2061.0,3,austin,poor,2015,2014-12-02,464190
,4,nyc,good,1986,2020-07-07,536162
1443.0,2,austin,fair,1996,2010-05-14,322479
3012.0,4,miami,good,1933,2023-04-06,689120
1982.0,3,seattle,poor,2004,2015-11-28,546032
848.0,1,dallas,poor,1952,2001-04-22,79959
716.0,1,nyc,fair,1907,2019-02-10,83342
3026.0,5,nyc,good,1946,2014-07-27,569394
667.0,1,seattle,fair,1944,2010-12-10,158173
1342.0,1,austin,good,1965,,383840
1502.0,2,nyc,fair,1933,2007-04-27,253174
1019.0,2,seattle,good,1958,2015-06-27,257361
1442.0,2,nyc,good,1953,2014-03-09,294136
2728.0,3,austin,poor,1941,,517376
544.0,2,seattle,good,1987,2007-04-05,199220
2982.0,6,austin,fair,1938,2010-02-18,557810
3070.0,5,miami,fair,1996,2012-04-20,704869
1617.0,3,miami,poor,1931,2012-12-20,373560
961.0,2,miami,good,2008,,467274
2303.0,4,miami,excellent,1945,2015-07-20,543849
859.0,2,austin,poor,1905,2005-05-16,170755
1595.0,3,miami,good,1918,2013-10-23,460726
3375.0,5,seattle,good,2001,2003-03-06,706175
3486.0,4,miami,fair,2009,2012-08-14,829865
2816.0,5,dallas,good,1926,2020-09-12,440399
1433.0,1,seattle,good,1975,2021-09-15,383132
2563.0,3,austin,excellent,1972,2018-03-04,600039
2616.0,5,miami,excellent,1916,,642526
1664.0,3,miami,poor,1956,2001-08-27,455043
2423.0,5,miami,fair,1987,2008-11-03,630514
532.0,1,seattle,good,2021,2017-03-18,284721
1127.0,1,miami,poor,2006,2020-08-19,401495
2075.0,3,seattle,fair,1912,2015-10-14,384724
991.0,1,austin,excellent,1929,2022-04-01,316793
998.0,1,nyc,poor,1955,2007-09-01,215006
3009.0,5,miami,good,1918,2003-02-08,612969
3467.0,5,dallas,good,1971,2002-09-03,525166
2168.0,3,dallas,fair,1901,2015-08-03,298794
3017.0,4,nyc,good,1914,2017-03-05,504327
3471.0,5,nyc,excellent,1905,2007-01-06,527157
925.0,1,nyc,good,1937,2020-09-24,222803
1845.0,2,austin,poor,1996,2019-03-18,365051
1678.0,2,miami,poor,1922,,370534
740.0,1,seattle,excellent,2024,2006-01-18,381881
2766.0,4,austin,fair,1933,2019-12-04,586467
1801.0,4,miami,good,1905,2017-07-12,432076
1908.0,3,miami,poor,1942,2004-12-02,442815
952.0,1,seattle,fair,1994,2006-02-03,260341
1043.0,1,dallas,excellent,1913,2012-03-04,214636
